training noise-level and iteration, test noise-level, epoch, reconstruction error, kl-divergence, cost
0.0 0, 0.0, 0, 648546.3273525238, 53620910.05494728, 54269456.3822998
0.0 0, 0.02, 0, 648550.2994060516, 53624514.02354558, 54273064.32295163
0.0 0, 0.04, 0, 648583.1272602081, 53632501.95065133, 54281085.07791154
0.0 0, 0.06, 0, 648559.4701766968, 53633518.30924178, 54282077.779418476
0.0 0, 0.08, 0, 648572.8466510773, 53657827.68770948, 54306400.53436056
0.0 0, 0.1, 0, 648614.9621009827, 53667955.48093365, 54316570.443034634
0.0 0, 0.12, 0, 648646.2128162384, 53682662.55836857, 54331308.77118481
0.0 0, 0.14, 0, 648876.6503334045, 53747332.92171466, 54396209.57204807
0.0 0, 0.16, 0, 648778.8677215576, 53746815.097833686, 54395593.96555524
0.0 0, 0.18, 0, 648864.7925853729, 53764600.23470025, 54413465.02728562
0.0 0, 0.2, 0, 649120.9316253662, 53845559.66161838, 54494680.59324375
0.0 0, 0.22, 0, 649039.6213531494, 53831637.666612804, 54480677.28796595
0.0 0, 0.24, 0, 649310.5971813202, 53901729.28648337, 54551039.88366469
0.0 0, 0.26, 0, 649411.4172458649, 53940804.971103445, 54590216.38834931
0.0 0, 0.28, 0, 649486.5942001343, 53965148.759523556, 54614635.35372369
0.0 0, 0.3, 0, 649624.9151229858, 54004028.120292984, 54653653.03541597
0.0 0, 0.32, 0, 649912.5385284424, 54083733.88162596, 54733646.4201544
0.0 0, 0.34, 0, 649974.6310710907, 54112915.951563865, 54762890.582634956
0.0 0, 0.36, 0, 650112.0173931122, 54155404.96225797, 54805516.97965108
0.0 0, 0.38, 0, 650159.1563224792, 54185620.79315381, 54835779.94947629
0.0 0, 0.4, 0, 650364.8853302002, 54236787.27301176, 54887152.15834196
0.0 0, 0.42, 0, 650468.5091972351, 54263907.38384439, 54914375.893041626
0.0 0, 0.44, 0, 650446.6044902802, 54271317.80084538, 54921764.40533566
0.0 0, 0.46, 0, 650596.7247486115, 54314043.11911228, 54964639.843860894
0.0 0, 0.48, 0, 650835.223197937, 54383668.96589009, 55034504.189088024
0.0 0, 0.5, 0, 650698.0121135712, 54358608.6950747, 55009306.70718827
0.0 0, 0.0, 1, 50740.08874595165, 0.06702510542993279, 50740.155771057085
0.0 0, 0.02, 1, 50740.59255421162, 0.06721226761833965, 50740.659766479235
